,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,3002592,BLANQUEADOR FLORAL,405,LIMPIADORES E IMPLEMENTOS ASEO,820,BLANQUEADOR CON FRAGANCIA,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3002604,BLANQUEADOR LIMON,405,LIMPIADORES E IMPLEMENTOS ASEO,820,BLANQUEADOR CON FRAGANCIA,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3002606,BLANQUEDOR MANZANA,405,LIMPIADORES E IMPLEMENTOS ASEO,820,BLANQUEADOR CON FRAGANCIA,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3003158,SHAMPOO TODO CABELLO,96,CUIDADO CAPILAR Y ACCESORIOS,1310,SHAMPOO 1 EN 1,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3004110,PAÑAL TALLA M,67,PAPELES Y ABSORBENTES,9030,PANALES VALUE,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3004111,Pañal Talla G,67,PAPELES Y ABSORBENTES,9030,PANALES VALUE,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3004112,PAÑAL TALLA XG,67,PAPELES Y ABSORBENTES,9030,PANALES VALUE,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3006840,Blanqueador Floral,405,LIMPIADORES E IMPLEMENTOS ASEO,820,BLANQUEADOR CON FRAGANCIA,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3006843,Blanqueador Limón,405,LIMPIADORES E IMPLEMENTOS ASEO,820,BLANQUEADOR CON FRAGANCIA,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3007966,Detergente en Polvo Limon,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3007967,Detergente en Polvo Limon,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3007969,Detergente en Polvo Floral,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3007970,Detergente en Polvo Floral,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3009553,Protectores Diarios Multiestil,67,PAPELES Y ABSORBENTES,6010,PROTEC. DIARIOS MULTIPANTY,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3014290,Jabón Liquido Avena,406,CUIDADO CORPORAL,1230,JABON LIQUIDOS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3014291,Jabón Liquido Manzana,406,CUIDADO CORPORAL,1230,JABON LIQUIDOS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3015859,Detergente Liquido Floral,97,CUIDADO ROPA,1011,DETERGENTES LIQUIDOS,20000,EXITO MARCA PROPIA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3023705,Blanqueador sin fragancia,405,LIMPIADORES E IMPLEMENTOS ASEO,830,BLANQUEADOR SIN FRAGANCIA,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3026524,Protectores Diarios Multiestil,67,PAPELES Y ABSORBENTES,6010,PROTEC. DIARIOS MULTIPANTY,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3039180,Jabon Liquido Manzana,406,CUIDADO CORPORAL,1230,JABON LIQUIDOS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3039181,Jabon Liquido Avena,406,CUIDADO CORPORAL,1230,JABON LIQUIDOS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3041841,Vino Tinto Reserva Merlot,95,LICORES Y CIGARRILLOS,811,VINO TINTOS MESA,19653,SIETE SOLES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3041842,Vino Tinto Reserva Carmenere,95,LICORES Y CIGARRILLOS,811,VINO TINTOS MESA,19653,SIETE SOLES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3041843,Vino Reserva Rosado,95,LICORES Y CIGARRILLOS,832,VINO ROSADOS MESA,19653,SIETE SOLES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3046977,Lavaloza Liquido Limon,405,LIMPIADORES E IMPLEMENTOS ASEO,4520,LAVALOZAS LIQUIDOS,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3054276,Frijol Cargamanto Blanco,90,GRANOS,2020,FRIJOL CARGAMANTO,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3054283,Frijol Sabanero Rojo,90,GRANOS,2030,FRIJOL SABANERO,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3058697,Bebi De Almend Original,63,BEBIDAS LIQUIDAS NO ALCOHOLICA,8120,FRUTOS,50000,TAEQ,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3059933,Detergente Liquido Floral,97,CUIDADO ROPA,1011,DETERGENTES LIQUIDOS,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
