,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Info para aplicar SR,Info para negocio dctos pos,,
insuperables ciclo 2 ,,,,,,,,,,,,
Negociador,PROVEEDOR,SUB,CATEGORIA,SUBCATEGORIA,MARCA,PLU,DESCRIPCION PLU,Presentacion,PRECIO APLICAR SR, Dcto pos aplica el negocio ,Observación,
Kathe A,HARINERA DEL VALLE S.A.,93,PASTAS,ESPECIALIDADES,CONZAZONI,236837,Pastas para lasagna,400 G,"$16,450 ",20%,,
Kathe A,HARINERA DEL VALLE S.A.,93,HARINAS PARA PREPARAR,MEZCLAS PANCAKES/WAFLES/MUFFIN,HAZ DE OROS,973957,"Mezcla pancakes, crepes o waffles",300 G,"$6,700 ",20%,,
Kathe A,KELLOGG DE COLOMBIA S.A.,93,CEREALES LISTOS,CEREALES INFANTILES,FROOT LOOPS,1764935,Cereal frutal,450 G,"$27,900 ",15%,,
Kathe A,UNILEVER ANDINA COLOMBIA LTDA,93,HARINAS,FECULAS,MAIZENA,3341982,Fécula de Maíz,720 G,"$25,900 ",15%,,
Kathe A,LEVAPAN S.A.,69,GELATINAS EN POLVO,GELATINA DIETETICA Y SIN SABOR,GEL HADA,3574747,Gelatina sin sabor x3und,90 G,"$9,450 ",10%,,
Kathe A,SOBERANA S.A.S.,93,HARINAS,HARINA PRECOCIDA MAIZ,AREPAREPA,3791591,Harina para arepas blanca ,1000 G,"$3,300 ",10%,,
Kathe A,SOBERANA S.A.S.,93,HARINAS,HARINA PRECOCIDA MAIZ,AREPAREPA,322520,Harina maíz blanco,1000 G,"$3,300 ",10%,,
Vero San Juan,EDGEWELL PERSONAL CARE COLOMBI,98,HOJAS Y MAQUINAS HOMBRE,MAQUINAS DURADERAS HOMBRE,SCHICK,1210537,Maquina de afeitar Quattro titanium x1 + 1 repuestos,1 U,"$34,200 ",20%,,
Vero San Juan,EDGEWELL PERSONAL CARE COLOMBI,98,HOJAS Y MAQUINAS MUJER,MAQUINAS DESECHABLES MUJER,SCHICK,156543,Maquina de afeitar Xtreme3 piel delicada x4 und,4 U,"$28,400 ",20%,,
Johana,COOPERATIVA COLANTA,83,QUESOS AUTOSERVICIO,RALLADOS,COLANTA,312035,QUESO PARMESANO,250 G,"$25,250 ",15%,,
Johana,COOPERATIVA COLANTA,83,LECHES LIQUIDAS,LECHE LIQUIDA UHT CAJA,COLANTA,1740555,Sixpack Leche deslactosada  semidescremada en caja,6000 ML,"$33,990 ",15%,,
Johana,ALPINA PRODUCTOS ALIMENTICIOS,83,QUESOS AUTOSERVICIO,ESPARCIBLES,ALPINA,454064,Queso Cremosino vaso  ,200 G,"$7,750 ",15%,,
Johana,ALPINA PRODUCTOS ALIMENTICIOS,83,LECHES LIQUIDAS,LECHE LIQUIDA UHT BOLSA,ALPINA,576258,Sixapck de leche deslactosada bolsa,6600 ML,"$37,750 ",10%,,
Vane,KELLOGG DE COLOMBIA S.A.,59,PASABOCAS,PAPAS FRITAS PREMIUM,PRINGLES,1252938,PAPAS ORIGINAL,124 G,"$15,900 ",15%,,
Vane,KELLOGG DE COLOMBIA S.A.,59,PASABOCAS,PAPAS FRITAS PREMIUM,PRINGLES,1252939,PAPAS CREMA Y CEBOLLA,124 G,"$15,900 ",15%,,
Vane,KELLOGG DE COLOMBIA S.A.,59,PASABOCAS,PAPAS FRITAS TRADICIONALES,PRINGLES,1252940,PAPAS QUESO,124 G,"$15,900 ",15%,,
Vero Castañeda,UNILEVER ANDINA COLOMBIA LTDA,64,TRATAMIENTOS,ANTIEDAD,POND'S,3732705,Crema facial reafirmante anti-edad,50 G,"$81,700 ",30%,,
Carolina,INDUSTRIA NACIONAL DE GASEOSAS,63,BEBIDAS HIDRATANTES,BEBIDAS HIDRATANTES,FLASHLYTE F,3773295,Bebida Hidratante Energetica ,625 ML,"$6,200 ",35%,,
Carolina,BEBIDAS Y ALIMENTOS DE URABA,63,BEBIDAS HIDRATANTES,BEBIDAS HIDRATANTES,POWERADE,903981,Bebida hidratante  frutas tropicales,500 ML,"$3,800 ",10%,,
Carolina,INDUSTRIA NACIONAL DE GASEOSAS,63,BEBIDAS HIDRATANTES,BEBIDAS HIDRATANTES,POWERADE,904062,Bebida hidratante  mountain blast,500 ML,"$3,800 ",10%,,
Carolina,DISLICORES,95,TEQUILAS,TEQUILAS,JOSE CUERVO,218209,Tequila Tradicional Reposado,750 ML,"$111,900 ",N.A,Aplica precio,
Carolina,GASEOSAS LUX S.A.S,95,CERVEZAS,CERVEZAS ARTESANALES,3CORDILLERAS,3481651,Sixpack Cerveza Rose ,1800 ML,"$27,000 ",15%,,
Carolina,GASEOSAS LUX S.A.S,95,CERVEZAS,CERVEZAS ARTESANALES,3CORDILLERAS,3668944,Cerveza  mestiza x4und,4800 ML,"$21,150 ",15%,,
Carolina,PERNOD,95,WHISKYS,WHISKYS ESTANDAR,SOMETHING,505596,Whisky especial blended Scotch ,1000 ML,"$101,900 ",10%,,
Carolina,PERNOD,95,WHISKYS,WHISKYS ESTANDAR,JAMESON,1251229,Whiskey triple distilled Irish,700 ML,"$129,900 ",20%,,
Carla,LOREAL COLOMBIA S.A.,96,TRATAMIENTO CAPILAR,TRATAMIENTOS CAPILARES,HAIR FOOD,3352898,Tratamiento capilar Garnier coco reparación,350 ML,"$37,500 ",20%,,
Alba,S.C.JOHNSON & SON COLOMBIANA S,405,PRODUCTOS WC,TANQUES PRODUCTOS WC,PATO,882842,Limpiador inodoro tanque pastilla pino,40 G,"$7,250 ",30%,,
Alba,S.C.JOHNSON & SON COLOMBIANA S,405,LIMPIA HORNOS Y NEVERAS,QUITAGRASAS,MR MUSCULO,163368,Desengrasante cocina empaque con gatillo,500 ML,"$15,050 ",20%,,
Vero Castañeda,LOREAL COLOMBIA S.A.,64,MAQUILLAJE,PESTANINA,MAYBELLINE,3214190,Pestanina Sky High WTP Negro,6 ML,"$62,900 ",35%,,
